,序號,會員代號,投注金額（元）,本店所屬起算日,保障本店所屬到期日,活動代碼
0,1,儒49238,"3,220",2023/03/24,2023/09/24,
1,2,賓11339,350,2020/10/28,2021/04/28, 
2,3,宇34087,0,2021/12/11,2022/06/11,
3,4,貿51262,0,2022/08/16,2023/02/16,
4,5,峰06741,0,2022/08/15,2023/02/15,
5,6,智65975,0,2022/11/26,2023/05/26, 
6,7,珊20911,0,2023/02/26,2023/08/26,
7,8,君33056,0,2023/05/13,2023/11/13,
8,9,薏46697,0,2019/05/01,2019/11/01, 
9,10,男02968,0,2019/06/10,2019/12/10, 
10,11,文71585,0,2019/06/14,2019/12/14, 
11,12,錦16765,0,2019/07/23,2020/01/23, 
12,13,呂17617,0,2019/09/14,2020/03/14, 
13,14,婷51127,0,2019/10/11,2020/04/11, 
14,15,真30556,0,2020/07/22,2021/01/22, 
15,16,青24959,0,2020/08/01,2021/02/01,
16,17,達11899,0,2020/08/01,2021/02/01,
17,18,欽49003,0,2020/08/01,2021/02/01, 
18,19,緯34316,0,2020/08/01,2021/02/01,
19,20,玉73273,0,2020/08/01,2021/02/01,
20,21,華34950,0,2020/08/01,2021/02/01,
21,22,銘28652,0,2020/08/01,2021/02/01,
22,23,婷56060,0,2020/08/01,2021/02/01,
23,24,嫥73503,0,2020/08/01,2021/02/01,
24,25,杰99452,0,2020/08/01,2021/02/01,
25,26,年95733,0,2020/08/01,2021/02/01,
26,27,廷43617,0,2020/08/01,2021/02/01,
27,28,充37912,0,2020/08/01,2021/02/01,
28,29,璇52475,0,2020/08/01,2021/02/01,
29,30,宏46555,0,2020/08/01,2021/02/01,
30,31,皓24821,0,2020/08/01,2021/02/01,
31,32,慧97419,0,2020/08/01,2021/02/01,
32,33,衡39683,0,2020/08/01,2021/02/01,
33,34,勳09125,0,2020/08/01,2021/02/01,
34,35,宏79020,0,2020/08/01,2021/02/01,
35,36,佑46879,0,2020/08/01,2021/02/01,
36,37,毅95355,0,2020/08/01,2021/02/01,
37,38,如66533,0,2020/08/01,2021/02/01,
38,39,甫66368,0,2020/08/01,2021/02/01,
39,40,元34802,0,2020/08/01,2021/02/01,
40,41,琳00825,0,2020/08/01,2021/02/01,
41,42,鳴04312,0,2020/08/01,2021/02/01,
42,43,傑32830,0,2020/08/01,2021/02/01,
43,44,展90738,0,2020/08/01,2021/02/01,
44,45,衛57709,0,2020/08/01,2021/02/01,
45,46,善99782,0,2020/08/01,2021/02/01,
46,47,遠15729,0,2020/08/01,2021/02/01,
47,48,涵33051,0,2020/08/01,2021/02/01,
48,49,文33113,0,2020/08/01,2021/02/01,
49,50,賜50437,0,2020/08/01,2021/02/01,
50,51,麟75090,0,2020/08/01,2021/02/01,
51,52,滿98231,0,2020/08/01,2021/02/01,
52,53,綸57482,0,2020/08/01,2021/02/01,
53,54,諺43999,0,2020/08/01,2021/02/01,
54,55,銘91789,0,2020/08/01,2021/02/01,
55,56,享42721,0,2020/08/01,2021/02/01,
56,57,仁06886,0,2020/08/01,2021/02/01,
57,58,志73958,0,2020/08/01,2021/02/01,
58,59,義09555,0,2020/08/01,2021/02/01,
59,60,維15181,0,2020/08/01,2021/02/01,
60,61,寶78036,0,2020/08/01,2021/02/01,
61,62,能38777,0,2020/08/01,2021/02/01,
62,63,煌86943,0,2020/08/01,2021/02/01,
63,64,揚40231,0,2020/08/01,2021/02/01,
64,65,穗47660,0,2020/08/01,2021/02/01, 
65,66,鈊18953,0,2020/08/01,2021/02/01, 
66,67,甄05632,0,2020/09/02,2021/03/02, 
67,1,儒49238,"1,170",2023/03/24,2023/09/24,
68,2,賓11339,100,2020/10/28,2021/04/28, 
69,3,宇34087,0,2021/12/11,2022/06/11,
70,4,貿51262,0,2022/08/16,2023/02/16,
71,5,峰06741,0,2022/08/15,2023/02/15,
72,6,智65975,0,2022/11/26,2023/05/26, 
73,7,珊20911,0,2023/02/26,2023/08/26,
74,8,君33056,0,2023/05/13,2023/11/13,
75,9,薏46697,0,2019/05/01,2019/11/01, 
76,10,男02968,0,2019/06/10,2019/12/10, 
77,11,文71585,0,2019/06/14,2019/12/14, 
78,12,錦16765,0,2019/07/23,2020/01/23, 
79,13,呂17617,0,2019/09/14,2020/03/14, 
80,14,婷51127,0,2019/10/11,2020/04/11, 
81,15,真30556,0,2020/07/22,2021/01/22, 
82,16,青24959,0,2020/08/01,2021/02/01,
83,17,達11899,0,2020/08/01,2021/02/01,
84,18,欽49003,0,2020/08/01,2021/02/01, 
85,19,緯34316,0,2020/08/01,2021/02/01,
86,20,玉73273,0,2020/08/01,2021/02/01,
87,21,華34950,0,2020/08/01,2021/02/01,
88,22,銘28652,0,2020/08/01,2021/02/01,
89,23,婷56060,0,2020/08/01,2021/02/01,
90,24,嫥73503,0,2020/08/01,2021/02/01,
91,25,杰99452,0,2020/08/01,2021/02/01,
92,26,年95733,0,2020/08/01,2021/02/01,
93,27,廷43617,0,2020/08/01,2021/02/01,
94,28,充37912,0,2020/08/01,2021/02/01,
95,29,璇52475,0,2020/08/01,2021/02/01,
96,30,宏46555,0,2020/08/01,2021/02/01,
97,31,皓24821,0,2020/08/01,2021/02/01,
98,32,慧97419,0,2020/08/01,2021/02/01,
99,33,衡39683,0,2020/08/01,2021/02/01,
100,34,勳09125,0,2020/08/01,2021/02/01,
101,35,宏79020,0,2020/08/01,2021/02/01,
102,36,佑46879,0,2020/08/01,2021/02/01,
103,37,毅95355,0,2020/08/01,2021/02/01,
104,38,如66533,0,2020/08/01,2021/02/01,
105,39,甫66368,0,2020/08/01,2021/02/01,
106,40,元34802,0,2020/08/01,2021/02/01,
107,41,琳00825,0,2020/08/01,2021/02/01,
108,42,鳴04312,0,2020/08/01,2021/02/01,
109,43,傑32830,0,2020/08/01,2021/02/01,
110,44,展90738,0,2020/08/01,2021/02/01,
111,45,衛57709,0,2020/08/01,2021/02/01,
112,46,善99782,0,2020/08/01,2021/02/01,
113,47,遠15729,0,2020/08/01,2021/02/01,
114,48,涵33051,0,2020/08/01,2021/02/01,
115,49,文33113,0,2020/08/01,2021/02/01,
