日期,序號,會員代號,投注金額（元）,本店所屬起算日,保障本店所屬到期日
2024-01-01,1,倫15186,"14,700",2024-01-01,2024-07-01
2024-01-01,2,賓69986,"6,400",2024-01-01,2024-07-01
2024-01-01,3,容56772,"5,500",2024-01-01,2024-07-01
2024-01-01,4,翰16520,"5,100",2024-01-01,2024-07-01
2024-01-01,5,偉95504,"5,000",2024-01-01,2024-07-01
2024-01-01,6,威63775,"3,510",2024-01-01,2024-07-01
2024-01-01,7,林90600,"1,800",2024-01-01,2024-07-01
2024-01-01,8,媚29190,"1,570",2024-01-01,2024-07-01
2024-01-01,9,利89092,900,2024-01-01,2024-07-01
2024-01-01,10,昇60979,880,2024-01-01,2024-07-01
2024-01-01,11,德62178,800,2024-01-01,2024-07-01
2024-01-01,12,禎05069,720,2024-01-01,2024-07-01
2024-01-01,13,麒38273,630,2024-01-01,2024-07-01
2024-01-01,14,聖29006,500,2024-01-01,2024-07-01
2024-01-01,15,昇24756,400,2024-01-01,2024-07-01
2024-01-01,16,炫96390,300,2024-01-01,2024-07-01
2024-01-01,17,岳79021,200,2024-01-01,2024-07-01
2024-01-01,18,維00738,200,2024-01-01,2024-07-01
2024-01-01,19,銘09006,200,2024-01-01,2024-07-01
2024-01-01,20,中15830,200,2024-01-01,2024-07-01
2024-01-01,21,傑97510,120,2024-01-01,2024-07-01
2024-01-01,22,甫53162,120,2024-01-01,2024-07-01
2024-01-01,23,憲95989,100,2024-01-01,2024-07-01
2024-01-01,24,緯65462,100,2024-01-01,2024-07-01
2024-01-01,25,樺11150,100,2024-01-01,2024-07-01
2024-01-01,26,傑79376,100,2024-01-01,2024-07-01
2024-01-01,27,凱33923,100,2024-01-01,2024-07-01
2024-01-01,28,華89750,100,2024-01-01,2024-07-01
2024-01-01,29,銘89498,100,2024-01-01,2024-07-01
2024-01-01,30,文17232,100,2024-01-01,2024-07-01
2024-01-01,31,君68294,0,2024-01-01,2024-07-01
2024-01-01,32,昇71890,0,2024-01-01,2024-07-01
2024-01-01,33,凡26951,0,2024-01-01,2024-07-01
2024-01-01,34,鈞07097,0,2024-01-01,2024-07-01
2024-01-01,35,歡98514,0,2024-01-01,2024-07-01
2024-01-01,36,翰26477,0,2024-01-01,2024-07-01
2024-01-01,37,瑜84189,0,2024-01-01,2024-07-01
2024-01-01,38,良41255,0,2024-01-01,2024-07-01
2024-01-01,39,叡57388,0,2024-01-01,2024-07-01
2024-01-01,40,堯79913,0,2024-01-01,2024-07-01
2024-01-01,41,憲77330,0,2024-01-01,2024-07-01
2024-01-01,42,仁97763,0,2024-01-01,2024-07-01
2024-01-01,43,玓74779,0,2024-01-01,2024-07-01
2024-01-01,44,民25360,0,2024-01-01,2024-07-01
2024-01-01,45,軒00338,0,2024-01-01,2024-07-01
2024-01-01,46,穎65360,0,2024-01-01,2024-07-01
2024-01-01,47,翔90377,0,2024-01-01,2024-07-01
2024-01-01,48,安22012,0,2024-01-01,2024-07-01
2024-01-01,49,剛60939,0,2024-01-01,2024-07-01
2024-01-01,50,蔚78345,0,2024-01-01,2024-07-01
2024-01-01,51,宜34571,0,2024-01-01,2024-07-01
2024-01-01,52,雯81673,0,2024-01-01,2024-07-01
2024-01-01,53,慶57578,0,2024-01-01,2024-07-01
2024-01-01,54,蕙62589,0,2024-01-01,2024-07-01
2024-01-01,55,宣82873,0,2024-01-01,2024-07-01
2024-01-01,56,富88563,0,2024-01-01,2024-07-01
2024-01-01,57,瑋15991,0,2024-01-01,2024-07-01
2024-01-01,58,仁74518,0,2024-01-01,2024-07-01
2024-01-01,59,瑋51868,0,2024-01-01,2024-07-01
2024-01-01,60,穎67027,0,2024-01-02,2024-07-02
2024-01-01,61,銘27682,0,2024-01-01,2024-07-01
2024-01-01,62,瑄25057,0,2024-01-01,2024-07-01
2024-01-01,63,軒18482,0,2024-01-01,2024-07-01
2024-01-01,64,媚56253,0,2024-01-01,2024-07-01
2024-01-01,65,宏03999,0,2024-01-01,2024-07-01
2024-01-01,66,恩05211,0,2024-01-01,2024-07-01
2024-01-01,67,廷30888,0,2024-01-01,2024-07-01
2024-01-01,68,達07151,0,2024-01-02,2024-07-02
2024-01-01,69,宇55190,0,2024-01-01,2024-07-01
2024-01-01,70,維19010,0,2024-01-01,2024-07-01
2024-01-01,71,軒41703,0,2024-01-01,2024-07-01
2024-01-01,72,德56837,0,2024-01-01,2024-07-01
2024-01-01,73,宏68084,0,2024-01-01,2024-07-01
2024-01-01,74,辰25309,0,2024-01-01,2024-07-01
2024-01-01,75,胤73393,0,2024-01-01,2024-07-01
2024-01-01,76,雯71185,0,2024-01-01,2024-07-01
2024-01-01,77,陽75165,0,2024-01-01,2024-07-01
2024-01-01,78,修75146,0,2024-01-01,2024-07-01
2024-01-01,79,澄52425,0,2024-01-01,2024-07-01
2024-01-01,80,齊91680,0,2024-01-01,2024-07-01
2024-01-01,81,任01904,0,2024-01-01,2024-07-01
2024-01-01,82,志42581,0,2024-01-01,2024-07-01
2024-01-01,83,嘉94513,0,2024-01-01,2024-07-01
2024-01-01,84,儒65999,0,2024-01-01,2024-07-01
2024-01-01,85,語21309,0,2024-01-01,2024-07-01
2024-01-01,86,笙52093,0,2024-01-01,2024-07-01
2024-01-01,87,德69222,0,2024-01-01,2024-07-01
2024-01-01,88,睿35668,0,2024-01-01,2024-07-01
2024-01-01,89,涵50245,0,2024-01-01,2024-07-01
2024-01-01,90,璇86992,0,2024-01-01,2024-07-01
2024-01-01,91,霖60587,0,2024-01-01,2024-07-01
2024-01-01,92,庭14360,0,2024-01-01,2024-07-01
2024-01-01,93,宗41294,0,2024-01-01,2024-07-01
2024-01-01,94,洋41935,0,2024-01-01,2024-07-01
2024-01-01,95,蓁37182,0,2024-01-01,2024-07-01
2024-01-01,96,茹80922,0,2024-01-01,2024-07-01
2024-01-01,97,岑75572,0,2024-01-01,2024-07-01
2024-01-01,98,賢15186,0,2024-01-01,2024-07-01
2024-01-01,99,雯81479,0,2024-01-01,2024-07-01
2024-01-01,100,信86303,0,2024-01-01,2024-07-01
2024-01-01,101,琛96714,0,2024-01-01,2024-07-01
2024-01-01,102,智33572,0,2024-01-01,2024-07-01
2024-01-01,103,蘴30394,0,2024-01-01,2024-07-01
2024-01-01,104,輝90726,0,2024-01-01,2024-07-01
2024-01-01,105,緯91330,0,2024-01-01,2024-07-01
2024-01-01,106,哲16875,0,2024-01-01,2024-07-01
2024-01-01,107,碩65965,0,2024-01-01,2024-07-01
2024-01-01,108,宏96837,0,2024-01-01,2024-07-01
2024-01-01,109,銘83025,0,2024-01-01,2024-07-01
2024-01-01,110,君39267,0,2024-01-01,2024-07-01
2024-01-01,111,軒43509,0,2024-01-01,2024-07-01
2024-01-01,112,偉16533,0,2024-01-01,2024-07-01
2024-01-01,113,純56810,0,2024-01-01,2024-07-01
2024-01-01,114,妤06359,0,2024-01-01,2024-07-01
2024-01-01,115,彥42553,0,2024-01-01,2024-07-01
