日期,序號,會員代號,投注金額（元）
2024/02,1,廸38183,"62,950"
2024/02,2,成24638,"56,000"
2024/02,3,翔52325,"37,910"
2024/02,4,恩93788,"28,150"
2024/02,5,民77780,"22,710"
2024/02,6,翊37147,"16,700"
2024/02,7,君01258,"4,500"
2024/02,8,景98486,"2,930"
2024/02,9,凱54542,"2,070"
2024/02,10,剛60939,"1,800"
2024/02,11,予19751,"707,320"
2024/02,12,庭41301,"417,830"
2024/02,13,龍27176,"90,330"
2024/02,14,鴻78469,"45,930"
2024/02,15,汝39210,"44,540"
2024/02,16,德62178,"43,330"
2024/02,17,行89356,"7,060"
2024/02,18,妤44145,300
2024/02,19,銘27682,120
2024/02,20,碩65965,100
2024/02,21,銨00828,"134,570"
2024/02,22,聖29006,"114,630"
2024/02,23,宏99936,"35,950"
2024/02,24,傑79376,"9,390"
2024/02,25,凱97386,"4,400"
2024/02,26,名89966,"4,380"
2024/02,27,正50143,"1,310"
2024/02,28,平52767,"1,000"
2024/02,29,志97503,100
2024/02,30,涵78595,100
2024/02,31,賓69986,"136,800"
2024/02,32,淵58667,"92,400"
2024/02,33,昇24756,"48,540"
2024/02,34,祐88390,"40,630"
2024/02,35,樺11150,"25,170"
2024/02,36,均56432,"14,950"
2024/02,37,薇61076,"2,000"
2024/02,38,益09306,"2,000"
2024/02,39,嘉94513,"2,000"
2024/02,40,松26269,200
2024/02,41,培90784,"58,040"
2024/02,42,昌79197,"38,910"
2024/02,43,辰39432,"16,050"
2024/02,44,如99518,"9,660"
2024/02,45,炫44751,"8,670"
2024/02,46,傑00848,"2,990"
2024/02,47,谷31580,500
2024/02,48,詒38170,250
2024/02,49,賢96110,200
2024/02,50,哲27321,100
2024/02,51,廷36943,"286,250"
2024/02,52,禎91876,"106,810"
2024/02,53,方19846,"60,700"
2024/02,54,峯59071,"47,300"
2024/02,55,中15830,"22,280"
2024/02,56,憲27290,"2,000"
2024/02,57,誠82375,700
2024/02,58,安69537,500
2024/02,59,睿21945,500
2024/02,60,瑋78673,380
2024/02,61,泰00840,"331,640"
2024/02,62,遠18638,"151,330"
2024/02,63,利89092,"78,520"
2024/02,64,翔14252,"33,770"
2024/02,65,任01904,"29,200"
2024/02,66,捷26396,"21,970"
2024/02,67,哲51260,"5,020"
2024/02,68,宜67892,"4,000"
2024/02,69,興68935,"1,000"
2024/02,70,逸28027,400
2024/02,71,容56772,"271,820"
2024/02,72,銘83025,"71,570"
2024/02,73,文10258,"28,390"
2024/02,74,傑97510,"21,430"
2024/02,75,揚65728,"12,000"
2024/02,76,誠13777,"10,000"
2024/02,77,淞43101,"6,520"
2024/02,78,全66958,"1,010"
2024/02,79,珊68516,700
2024/02,80,凡14518,300
2024/02,81,林90600,"154,370"
2024/02,82,美61482,"120,410"
2024/02,83,婷11365,"47,350"
2024/02,84,秋19825,"25,660"
2024/02,85,吉96266,"22,550"
2024/02,86,麒39351,"12,430"
2024/02,87,森89116,"4,890"
2024/02,88,琳73805,"1,380"
2024/02,89,宇46627,640
2024/02,90,廷75975,540
2024/02,91,萱73889,"570,000"
2024/02,92,凱33923,"152,500"
2024/02,93,蔚78345,"103,650"
2024/02,94,欣35600,"11,800"
2024/02,95,廣37369,"10,980"
2024/02,96,典81272,"5,770"
2024/02,97,偉88967,"3,010"
2024/02,98,均60648,"2,350"
2024/02,99,珏75970,"1,420"
2024/02,100,原82565,"1,000"
2024/02,101,安11153,"56,190"
2024/02,102,文73755,"26,440"
2024/02,103,甫53162,"8,180"
2024/02,104,炫96390,"5,620"
2024/02,105,安97158,"2,880"
2024/02,106,瑋80137,"1,510"
2024/02,107,勇26517,"1,200"
2024/02,108,苓42533,550
2024/02,109,瑋51868,300
2024/02,110,佑05250,300
2024/02,111,陞25645,"186,360"
2024/02,112,華63310,"100,000"
2024/02,113,杰16153,"65,530"
2024/02,114,光78350,"21,340"
2024/02,115,富27477,"19,300"
2024/02,116,維19010,"5,000"
2024/02,117,祥64695,"2,010"
2024/02,118,華80928,"1,600"
2024/02,119,如13209,400
2024/02,120,傑46257,200
2024/02,121,庭52960,"106,090"
2024/02,122,倫15186,"45,080"
2024/02,123,婷30182,"23,100"
2024/02,124,靖80066,"4,550"
2024/02,125,凡26951,"3,820"
2024/02,126,宏75505,"3,650"
2024/02,127,義57530,"1,130"
2024/02,128,輿58866,"1,000"
2024/02,129,泰21701,600
2024/02,130,喬52027,200
2024/02,131,偉95504,"246,170"
2024/02,132,文15472,"181,770"
2024/02,133,源66622,"147,790"
2024/02,134,博27175,"26,670"
2024/02,135,荃69990,"21,060"
2024/02,136,名27142,"8,900"
2024/02,137,愷95208,"3,900"
2024/02,138,霖41328,400
2024/02,139,樟65613,200
2024/02,140,佑92550,200
2024/02,141,樺74610,"484,000"
2024/02,142,樺89917,"264,800"
2024/02,143,燁65792,"81,870"
2024/02,144,誠82986,"67,430"
2024/02,145,翰61500,"15,600"
2024/02,146,弘02778,"10,980"
2024/02,147,修84911,"3,210"
2024/02,148,帆05772,"1,400"
2024/02,149,妤53879,360
2024/02,150,華89750,280
2024/02,151,維00738,"23,470"
2024/02,152,銘01496,"11,400"
2024/02,153,堂47680,"9,720"
2024/02,154,翔22707,"8,220"
2024/02,155,伊26158,"3,130"
2024/02,156,偉11177,"1,000"
2024/02,157,圳91020,940
2024/02,158,晴90281,700
2024/02,159,芝98366,200
2024/02,160,奚87554,100
2024/02,161,威63775,"297,660"
2024/02,162,麒38273,"71,580"
2024/02,163,文17232,"16,060"
2024/02,164,柏39348,"9,650"
2024/02,165,霈46297,"1,500"
2024/02,166,文13580,"1,500"
2024/02,167,昱22751,"1,350"
2024/02,168,銘33665,"1,000"
2024/02,169,敬24509,400
2024/02,170,翮07630,200
2024/02,171,陞90301,"173,000"
2024/02,172,鴻59133,"18,250"
2024/02,173,宏30235,"13,250"
2024/02,174,皓75990,"11,000"
2024/02,175,銘14408,"6,490"
2024/02,176,傑41118,"1,500"
2024/02,177,誠29065,700
2024/02,178,平66874,700
2024/02,179,倫78073,400
2024/02,180,芸16072,200
2024/02,181,金69717,"317,520"
2024/02,182,媚29190,"120,640"
2024/02,183,穎67027,"58,870"
2024/02,184,軒29917,"34,400"
2024/02,185,和61767,"9,500"
2024/02,186,敬88915,"5,500"
2024/02,187,杰76352,"2,720"
2024/02,188,銘36344,"2,000"
2024/02,189,菁37912,200
2024/02,190,諭29261,200
2024/02,191,岳79021,"343,220"
2024/02,192,安09717,"20,510"
2024/02,193,翰16520,"18,200"
2024/02,194,元23777,"14,000"
2024/02,195,展44508,"5,000"
2024/02,196,偉45732,"4,930"
2024/02,197,宏30200,"4,880"
2024/02,198,廷85935,"1,270"
2024/02,199,佑54872,"1,000"
2024/02,200,翔06107,500
2024/02,201,宇06509,"1,751,260"
2024/02,202,鴻01301,"95,400"
2024/02,203,緯27480,"42,750"
2024/02,204,禎05069,"17,490"
2024/02,205,騰41760,"12,930"
2024/02,206,翔33304,"12,100"
2024/02,207,良60375,"9,960"
2024/02,208,華19030,"7,820"
2024/02,209,睿53729,"2,180"
2024/02,210,業67696,0
2024/02,211,昌21498,"132,800"
2024/02,212,豊11330,"25,650"
2024/02,213,彥83870,"20,890"
2024/02,214,軒43509,"12,230"
2024/02,215,程66846,"6,330"
2024/02,216,昇09580,"1,360"
2024/02,217,誠01676,"1,200"
2024/02,218,恒19720,500
2024/02,219,沂80395,500
2024/02,220,廷20118,100
2024/02,221,儒53912,"2,482,430"
2024/02,222,銘89498,"148,190"
2024/02,223,銘09006,"64,010"
2024/02,224,幃21470,"27,890"
2024/02,225,宏28763,"27,000"
2024/02,226,佑59406,"17,500"
2024/02,227,偉32726,"8,100"
2024/02,228,停75104,"1,150"
2024/02,229,妮25129,800
2024/01,1,安11153,"76,250"
2024/01,2,恩93788,"58,000"
2024/01,3,昌79197,"54,400"
2024/01,4,禎05069,"25,060"
2024/01,5,維00738,"18,550"
2024/01,6,沂80395,"10,900"
2024/01,7,華89750,"2,600"
2024/01,8,文13580,"1,000"
2024/01,9,廷75975,720
2024/01,10,中88930,250
2024/01,11,金69717,"243,680"
2024/01,12,樺11150,"90,950"
2024/01,13,捷26396,"39,670"
2024/01,14,淞43101,"27,240"
2024/01,15,行89356,"12,800"
2024/01,16,哲51260,"7,620"
2024/01,17,名89966,"6,560"
2024/01,18,華80928,"3,100"
2024/01,19,晟94368,"2,000"
2024/01,20,銓45131,850
2024/01,21,庭41301,"202,550"
2024/01,22,霈46297,"90,280"
2024/01,23,翰61500,"22,160"
2024/01,24,淵58667,"16,700"
2024/01,25,佑92550,"4,300"
2024/01,26,芝98366,"1,200"
2024/01,27,家96495,"1,000"
2024/01,28,俊82091,700
2024/01,29,堯72049,400
2024/01,30,善63593,260
2024/01,31,彥83870,"425,140"
2024/01,32,麒38273,"117,940"
2024/01,33,凱33923,"65,200"
2024/01,34,廣37369,"19,130"
2024/01,35,緯65462,"2,590"
2024/01,36,原90991,"2,300"
2024/01,37,柏39348,"1,500"
2024/01,38,維19369,800
2024/01,39,君01258,300
2024/01,40,鈞27525,100
2024/01,41,桀13469,"191,390"
2024/01,42,林90600,"147,580"
2024/01,43,翔52325,"103,600"
2024/01,44,任01904,"10,200"
2024/01,45,暐53508,"6,460"
2024/01,46,恩31404,"1,250"
2024/01,47,緯69887,"1,000"
2024/01,48,辰39432,760
2024/01,49,堂10606,400
2024/01,50,峻22962,100
2024/01,51,容56772,"405,550"
2024/01,52,岳79021,"256,790"
2024/01,53,燁65792,"197,640"
2024/01,54,中15830,"5,360"
2024/01,55,輝10858,"3,000"
2024/01,56,廷85935,800
2024/01,57,融71036,690
2024/01,58,宇29206,530
2024/01,59,偉88967,500
2024/01,60,杰57727,150
2024/01,61,倫15186,"76,310"
2024/01,62,義57530,"4,540"
2024/01,63,萱73889,"3,000"
2024/01,64,典81272,"3,000"
2024/01,65,皓00522,"2,360"
2024/01,66,秋87496,"1,030"
2024/01,67,翔22707,850
2024/01,68,妮25129,200
2024/01,69,泰21701,200
2024/01,70,郁66931,100
2024/01,71,儒53912,"534,170"
2024/01,72,賓69986,"280,000"
2024/01,73,銘01496,"32,500"
2024/01,74,秋19825,"32,340"
2024/01,75,昇60979,"15,400"
2024/01,76,傑41118,"5,510"
2024/01,77,全66958,"3,100"
2024/01,78,隱99380,800
2024/01,79,峯98130,800
2024/01,80,丞88003,430
2024/01,81,源66622,"109,450"
2024/01,82,揚65728,"12,900"
2024/01,83,沛41820,"10,920"
2024/01,84,元23777,"7,390"
2024/01,85,祐88390,"5,270"
2024/01,86,棋01978,"4,500"
2024/01,87,綸71332,650
2024/01,88,佑54872,350
2024/01,89,平29057,300
2024/01,90,廷20118,100
2024/01,91,嘉73507,"42,000"
2024/01,92,泰00840,"37,510"
2024/01,93,均56432,"33,770"
2024/01,94,幃21470,"21,800"
2024/01,95,鴻78469,"14,240"
2024/01,96,昱22751,"1,570"
2024/01,97,語21309,800
2024/01,98,志97503,540
2024/01,99,銘22447,300
2024/01,100,安69537,100
2024/01,101,偉95504,"311,680"
2024/01,102,予19751,"250,570"
2024/01,103,瑋80137,"94,610"
2024/01,104,銘09006,"48,770"
2024/01,105,蔚78345,"48,560"
2024/01,106,涵78595,"35,280"
2024/01,107,名27142,"6,500"
2024/01,108,先90324,"1,010"
2024/01,109,睿21945,500
2024/01,110,豪77837,100
2024/01,111,誠82986,"47,970"
2024/01,112,銨00828,"46,030"
2024/01,113,利89092,"40,460"
2024/01,114,如99518,"4,240"
2024/01,115,興68935,"3,390"
2024/01,116,良60375,"3,100"
2024/01,117,銘33665,"1,800"
2024/01,118,廷06669,"1,050"
2024/01,119,修26369,850
2024/01,120,臻08130,500
2024/01,121,文10258,"40,460"
2024/01,122,誠82375,"11,500"
2024/01,123,薇61076,"6,630"
2024/01,124,和61767,"3,960"
2024/01,125,諭29261,"2,720"
2024/01,126,帆05772,"2,600"
2024/01,127,翔06107,"2,000"
2024/01,128,文15472,"2,000"
2024/01,129,妤53879,"1,760"
2024/01,130,敬24509,"1,100"
2024/01,131,庭52960,"102,080"
2024/01,132,樺89917,"99,390"
2024/01,133,展44508,"36,900"
2024/01,134,翊37147,"28,600"
2024/01,135,培90784,"11,730"
2024/01,136,麒39351,"5,200"
2024/01,137,憲27290,"1,580"
2024/01,138,均60648,"1,250"
2024/01,139,嘉53929,500
2024/01,140,正50143,400
2024/01,141,光78350,"53,350"
2024/01,142,龍27176,"31,750"
2024/01,143,鴻59133,"16,200"
2024/01,144,婷11365,"13,490"
2024/01,145,騰41760,"12,580"
2024/01,146,郁98311,"5,000"
2024/01,147,珊68516,"4,440"
2024/01,148,原82565,"2,000"
2024/01,149,伊26158,"1,430"
2024/01,150,哲27321,200
2024/01,151,誠13777,"1,716,500"
2024/01,152,華63310,"391,400"
2024/01,153,傑97510,"17,910"
2024/01,154,鴻94636,"16,590"
2024/01,155,文73755,"15,860"
2024/01,156,甫53162,"13,290"
2024/01,157,傑00848,"10,980"
2024/01,158,富27477,"3,960"
2024/01,159,景98486,"3,720"
2024/01,160,宏75505,"1,910"
2024/01,161,昌21498,"33,000"
2024/01,162,方19846,"30,500"
2024/01,163,宏28763,"25,960"
2024/01,164,文17232,"12,300"
2024/01,165,瑞97538,"2,960"
2024/01,166,堯79913,"2,000"
2024/01,167,喬52027,"1,430"
2024/01,168,智61296,"1,020"
2024/01,169,文22569,520
2024/01,170,琪83953,100
2024/01,171,威63775,"78,750"
2024/01,172,宏99936,"40,820"
2024/01,173,霖41328,"13,000"
2024/01,174,炫96390,"6,380"
2024/01,175,堂47680,"4,500"
2024/01,176,誠29065,"2,600"
2024/01,177,瑋78673,"1,140"
2024/01,178,耀90600,500
2024/01,179,松26269,300
2024/01,180,家93328,200
2024/01,181,陞25645,"108,670"
2024/01,182,皓75990,"60,630"
2024/01,183,維19010,"20,700"
2024/01,184,銘83025,"18,890"
2024/01,185,傑04675,"3,270"
2024/01,186,K41169,"3,000"
2024/01,187,廷30888,"1,750"
2024/01,188,廷23589,"1,520"
2024/01,189,豪57014,"1,200"
2024/01,190,甄69115,"1,000"
2024/01,191,汝39210,"67,540"
2024/01,192,禎91876,"67,280"
2024/01,193,弘02778,"19,560"
2024/01,194,銘14408,"4,910"
2024/01,195,益09306,"4,500"
2024/01,196,宜67892,"3,200"
2024/01,197,皓25889,"1,470"
2024/01,198,凱54542,"1,000"
2024/01,199,琳73805,720
2024/01,200,偉80970,100
2024/01,201,穎06553,"229,000"
2024/01,202,昇24756,"47,570"
2024/01,203,榮02821,"39,000"
2024/01,204,廸38183,"30,020"
2024/01,205,緯27480,"18,500"
2024/01,206,宏30200,"5,400"
