,會員代號,投注金額,本店所屬起算日
0,儒49238,126870,2023/03/24
1,賓11339,3990,2020/10/28
2,宇34087,0,2021/12/11
3,貿51262,0,2022/08/16
4,峰06741,0,2022/08/15
5,智65975,0,2022/11/26
6,珊20911,0,2023/02/26
7,君33056,0,2023/05/13
8,薏46697,0,2019/05/01
9,男02968,0,2019/06/10
10,文71585,0,2019/06/14
11,錦16765,12400,2019/07/23
12,呂17617,0,2019/09/14
13,婷51127,0,2019/10/11
14,真30556,0,2020/07/22
15,青24959,0,2020/08/01
16,達11899,0,2020/08/01
17,欽49003,0,2020/08/01
18,緯34316,0,2020/08/01
19,玉73273,0,2020/08/01
20,華34950,0,2020/08/01
21,銘28652,0,2020/08/01
22,婷56060,0,2020/08/01
23,嫥73503,0,2020/08/01
24,杰99452,0,2020/08/01
25,年95733,0,2020/08/01
26,廷43617,0,2020/08/01
27,充37912,0,2020/08/01
28,璇52475,0,2020/08/01
29,宏46555,0,2020/08/01
30,皓24821,0,2020/08/01
31,慧97419,0,2020/08/01
32,衡39683,0,2020/08/01
33,勳09125,0,2020/08/01
34,宏79020,0,2020/08/01
35,佑46879,0,2020/08/01
36,毅95355,0,2020/08/01
37,如66533,0,2020/08/01
38,甫66368,0,2020/08/01
39,元34802,0,2020/08/01
40,琳00825,0,2020/08/01
41,鳴04312,0,2020/08/01
42,傑32830,0,2020/08/01
43,展90738,0,2020/08/01
44,衛57709,0,2020/08/01
45,善99782,0,2020/08/01
46,遠15729,0,2020/08/01
47,涵33051,0,2020/08/01
48,文33113,0,2020/08/01
49,賜50437,0,2020/08/01
50,麟75090,0,2020/08/01
51,滿98231,0,2020/08/01
52,綸57482,0,2020/08/01
53,諺43999,0,2020/08/01
54,銘91789,0,2020/08/01
55,享42721,0,2020/08/01
56,仁06886,0,2020/08/01
57,志73958,0,2020/08/01
58,義09555,0,2020/08/01
59,維15181,0,2020/08/01
60,寶78036,0,2020/08/01
61,能38777,0,2020/08/01
62,煌86943,0,2020/08/01
63,揚40231,0,2020/08/01
64,穗47660,0,2020/08/01
65,鈊18953,0,2020/08/01
66,甄05632,0,2020/09/02
67,萱60011,0,2023/09/13
68,柔75061,0,2023/09/14
