會員代號,投注金額,抽獎機會,中獎機會
宇06509,4774270,23872,0.10657904136009715
彥83870,3276840,16385,0.07315254661047217
陞25645,2630070,13151,0.0587140152868062
邦91777,2163770,10819,0.04830255732552325
陽61707,1733010,8666,0.03869026359025644
鴻01301,1493540,7468,0.03334166726194728
雯03886,1260370,6302,0.028135938281305808
朋32776,1126400,5633,0.02514911779412815
佑59406,1037510,5188,0.023162368740624332
瀚22775,1012830,5065,0.022613222373026643
樺89917,989430,4948,0.02209086363311665
泰00840,912750,4564,0.020376455461104365
亮12482,726100,3631,0.016210979355668263
哲27202,628940,3145,0.014041181512965212
容56772,596320,2982,0.013313450960782913
庭41301,587410,2938,0.013117008357739839
威63775,533650,2669,0.011916029716408314
樺11150,530260,2652,0.011840131437959854
金69717,505510,2528,0.011286520465747553
穎06553,502390,2512,0.011215086791913707
中15830,501810,2510,0.011206157582684477
昀71884,448260,2242,0.010009643545967568
麒38273,437930,2190,0.009777484106007572
予19751,432420,2163,0.009656939781412958
銘72694,416150,2081,0.009290842203014502
宏75133,405910,2030,0.00906314736766912
哲14249,386160,1931,0.008621151510822201
遠99012,351140,1756,0.00783984570326452
臨14085,349070,1746,0.007795199657118366
豊11330,320590,1603,0.007156761197228374
淵58667,312350,1562,0.006973712408029145
岳79021,304720,1524,0.006804057432673763
林90600,302000,1511,0.006746017572683763
榮02821,301200,1507,0.006728159154225302
豪70514,285530,1428,0.006375455389670691
鈞32610,265450,1328,0.005928994928209158
德62178,245210,1227,0.005478069862133009
銘89498,231210,1157,0.005165547539109937
伍34316,220440,1103,0.004924458889920709
瑋65082,209780,1049,0.004683370240731481
禎91876,203510,1018,0.004544967497678406
甯19057,200420,1003,0.004477998428459176
寰52697,194420,973,0.004344060290020716
倫15186,192360,962,0.004294949639259947
賓69986,184800,925,0.00412975926851918
遠18638,184700,924,0.004125294663904565
維19010,179340,897,0.00400475033930995
銘09006,168400,843,0.003763661690120723
州85881,159850,800,0.0035716836916922638
銨00828,149200,747,0.003335059647117651
聖29006,147940,740,0.003303807414815344
燁65792,144010,721,0.0032189799271376525
穎67027,143550,718,0.003205586113293807
沂80395,135440,678,0.0030270019287091934
文17232,131120,656,0.002928780627187656
凱10651,130600,654,0.0029198514179584255
蔚78345,125190,626,0.0027948424887491966
楓59383,123920,620,0.0027680548610615045
凱02217,109850,550,0.0024555325380384314
安11153,108740,544,0.0024287449103507393
禎05069,107900,540,0.002410886491892278
寧75606,107200,537,0.002397492678048432
義29308,104900,525,0.002343917422673048
志02217,102890,515,0.0022992713765268946
媚29190,99640,499,0.0022278377026930495
銘01496,98190,491,0.0021921208657761267
吉96266,95860,480,0.0021430102150153583
君45399,95150,476,0.002125151796556897
宏21249,94810,475,0.0021206871919422815
營79359,88710,444,0.0019822844488892066
利89092,86890,435,0.0019421030073576684
任63067,85710,429,0.0019153153796699763
翰61500,79090,396,0.0017679834273876705
淞43101,78570,393,0.0017545896135438247
慶57578,76300,382,0.0017054789627830558
俊58580,76000,381,0.0017010143581684407
偉16533,73520,368,0.0016429744981784414
仁02297,73390,367,0.001638509893563826
邦89269,73170,366,0.0016340452889492107
杰76352,71260,357,0.0015938638474176728
延34153,70500,353,0.0015760054289592114
軒29917,70160,351,0.0015670762197299807
翊05360,68530,343,0.001531359382813058
祥61118,68260,342,0.0015268947781984427
頲41181,64440,323,0.0014420672905207516
庭52960,63600,319,0.0014242088720622902
晴73647,60500,303,0.0013527751982284448
怡92224,58770,294,0.0013125937566969069
圳91020,58500,293,0.0013081291520822915
豐37900,58370,292,0.0013036645474676762
凱58063,58190,291,0.0012991999428530608
傑97510,57410,288,0.001285806129009215
德20800,57090,286,0.0012768769197799843
香19170,55550,278,0.0012411600828630617
昇24756,55310,277,0.0012366954782484464
宏30200,54900,275,0.0012277662690192157
名27142,54450,273,0.001218837059789985
韋62554,53450,268,0.0011965140367169082
閎40851,53280,267,0.0011920494321022931
旋06350,52510,263,0.0011741910136438317
騰41760,52290,262,0.0011697264090292164
宏28763,52180,261,0.001165261804414601
偉32726,52000,261,0.001165261804414601
凡26951,50020,251,0.0011206157582684478
